Numéro (Code);Ancien numéro;Nom;Description;Détails;Actif;Prix unitaire;Prix d'achat;Unité de mesure;Classe de produit (Code);Groupe de produit (Code);Pas de taxe;Date de fin de vente;Activer l'alerte;Nombre de jours pour l'alerte;Quantité critique;Quantité en stock;Quantité initiale;ISBN;EAN;UPC;Gérer l'inventaire;Entrepôt ;Emplacement boutique;Emplacement entrepôt 
P10093;;5.5 KW - 1500trs - B35;AAP132S4A - IP55 - IE3;;1;605870;204490;;EN ALUMINIUM;MOTEURS;0;;1;30;100;0;;;;;1;;;
P10094;;5.5 KW - 1500trs - B3;AAP132S4A - IP55 - IE3;;1;597900;195910;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10095;;7.5 KW - 3000trs - B35; AAP132S2B - IP55 - IE3;;1;650515;219505;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10096;;7.5 KW - 1500trs - B3- FONTE;ABP132M4A - IP55 - IE3;;1;699500;228800;;EN FONTE;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10097;;Bague d'etancheité VOLVO ;BAGUE;;1;314113;257010;;;MAINTENANCE ;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
P10098;;JOINT VOLVO;;;1;23836;18336;;;MAINTENANCE ;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
P10099;;HEURE VOLVO PENDA ;;;1;208000;160000;;;MAINTENANCE ;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
P10100;;11 KW - 1500trs - B3 - FONTE;ABP160M4A - IP55 - IE3;;1;1112202;363935;;EN FONTE;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10101;;Frais deplacement dans la ville VOLVO;;;0;71500;55000;;;;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
P10102;;Courroie d'etrainement trapez VOLVO ;;;1;220000;0;;;;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
P10103;;11 KW - 3000trs - B35 - FONTE;ABP160M2A - IP55 - IE3;;1;1010000;357500;;EN FONTE;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10104;;15 KW - 1500trs - B35;AAP160L4A - IP55 - IE3;;1;1350960;463320;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10105;;Fret Aerien Volvo Part ;;;1;135000;105000;;;;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
P10106;;Forfait de deplacement et petite fourniture ;;;1;110000;66000;;;;0;31/12/2099 00:00:00;0;0;0;0;;;;;0;;;
P10107;;YPM 73 / 100 L 4A / TL;Ratio(i): 24.69 Output speed(n2): 57 rpm Service factor(sf): 2.30 Output torque(M2): 169 Nm Options : TL : rubber buffer Motor configuration: 3 phase asynchronous motor / 4 Pole / Housing : Aluminium / Voltage : 230V-400V Efficiency Class: IE3 / Protection Class: IP55 / Frequency : 50 Hz / Duty cycle: S1 Insulation class: F / Cooling: Totally Enclosed, Fan Cooled (TEFC) Power(P):2.2 kW / Input Speed(n1): 1460 rpm Color Grey RAL 7031;;1;902500;361000;;;MOTOREDUCTEURS;0;31/12/2099 00:00:00;0;0;0;0;;;;;1;;;
P10108;;15KW - 1500trs - B3 ;AAP160L4A - Aluminium - à Pattes;;1;1333595;436865;;EN ALUMINIUM;MOTEURS;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10109;;DISJONCTEUR C60N 4P C63A MERL A9F74463;;;1;66950;51500;;;;0;31/12/2099 00:00:00;1;0;100;0;;;;;1;;;
P10110;;DISJONCTEUR ACTI9 IC40 ;1P+N C16A COURBE C 6 KA A9P52616;;1;8060;6200;;;APPAREILLAGES ;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10111;;CABLE INDUSTRIEL-R2V 3X4MM;100M;;1;265200;204000;;;APPAREILLAGES ;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10112;;CABLE INDUSTRIEL;R2V 3X4mm² T;;1;2860;2200;;;APPAREILLAGES ;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10113;;DLP A/CLOIS.; 32X12.5 2M LEGR;;1;5070;3900;;;APPAREILLAGES ;0;;1;30;100;0;;;;;1;;;
P10114;;CADRE MOSAIC PR SUPPORT;80252 4/5 OU 2X2MOD HORIZ P40mm;;1;4810;3700;;;APPAREILLAGES ;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
P10115;;PRISE COURANT;2P+T SURFACE MOSAIC LINK 2M BLC;;1;5720;4400;;;APPAREILLAGES ;0;31/12/2099 00:00:00;1;30;100;0;;;;;1;;;
